Acanella,Acanthogorgia,Anthomastus,Anthothela,Balticina,Bathypathes,Chrysogorgia,Clavularia,Desmophyllum,Distichoptilum,Funiculina,Javania,Keratoisis,Kophobelemnon,Lateothela,Lophelia,Paragorgia,Paramuricea,Parantipathes,Pennatula,Primnoa,Protoptilum,Radicipes,Solenosmilia,Stauropathes,Stichopathes,Swiftia,Telopathes,Thouarella,Umbellula
0.00166251039068994,0,0,0,0,0,0.00166251039068994,0,8.3125519534497e-4,0,0,0,0,8.3125519534497e-4,0,0,0,0.00914380714879468,0,0,0,0.00249376558603491,0,0,0,0,0,0,0,0
8.9928057553956e-4,0,8.9928057553956e-4,0,0,0,0.00494604316546763,0,0.0148381294964029,0,0,0,0,0,0,0,0,0.0085431654676259,0,0,0,0.00134892086330935,0,0,0,0,0,0,0,0
8.8261253309797e-4,0,0.00132391879964696,0,0,0,0,0,0,0,0,0,0.00132391879964696,0,0,0,0,0.0030891438658429,0,0,0,0,0,0,0,0,0,0,0,0
0.00103110500085925,0,0.00171850833476542,0,0,5.1555250042962e-4,0.00515552500429627,0,0.00240591166867159,0,0,0,0,0,0,0,0,0.00653033167210861,0,0,0,0.0012029558343358,0,0,0,0,0,0,0,0
0,0.0052983825989961,0,0.00390407138873397,0,0,0,0,2.7886224205242e-4,0,0,0,0,0,0,0,0.00808700501952036,2.7886224205242e-4,0,0,0.0105967651979922,0,0,0,0,0,0,0,0,0
0,0.0104413858566682,0,0.00237304224015187,0,0,0,0,0.00237304224015187,0,0,0,0,0,0,4.7460844803037e-4,0.00711912672045562,0.00237304224015187,0,0,0.00284765068818225,0,0,4.7460844803037e-4,0,0,0,0,0,0
0,0.0100472813238771,0,0.0041371158392435,0,0,0,5.9101654846335e-4,0.008274231678487,0,0,0,0,0,0.00177304964539007,0,0.00472813238770686,0.00177304964539007,0,0,0.00354609929078014,0,0,0,0,0,0,0,0,0
0,0.0125610607117934,0,0.00907187718073971,0,0,0,0,0.0153524075366364,0,0,0,0,0,0,0.00139567341242149,0.0125610607117934,6.9783670621074e-4,0,0,0.00418702023726448,0,0,0,0,0,0,0,0,0
7.9113924050632e-4,2.6371308016877e-4,0.00791139240506329,2.6371308016877e-4,0,0,0,0.00131856540084388,0.00659282700421941,0,0,0,0,0,0,2.6371308016877e-4,0,0.0044831223628692,5.2742616033755e-4,0,0,0,0,0.00131856540084388,0,0,0,0,0,0
0.00196656833824975,0.00131104555883317,0.0409701737135365,3.2776138970829e-4,0.00196656833824975,0,0,6.5552277941658e-4,0.0196656833824975,3.2776138970829e-4,0.00163880694854146,0,0,0,0,0,0,0.0206489675516224,9.8328416912487e-4,0,0,0,0,0.00327761389708292,0,0,0,0,0,0
0,0,0.0247747747747748,0,0,0.00112612612612613,0,0.00225225225225225,0.0123873873873874,0,0,0,0,0,0,0,0,0.00112612612612613,0.0045045045045045,0,0,0,0,0.0045045045045045,0,0,0,0,0,0
0,0.00114155251141553,0.00951293759512938,1.9025875190258e-4,1.9025875190258e-4,0,0,0.00133181126331811,0.00627853881278539,0,0,7.6103500761035e-4,7.6103500761035e-4,0,0,1.9025875190258e-4,1.9025875190258e-4,0.00209284627092846,3.8051750380517e-4,0,1.9025875190258e-4,0,0,0.00133181126331811,0,0,0,0,0,0
9.2180058380703e-4,3.0726686126901e-4,0.00215086802888308,0,3.0726686126901e-4,1.536334306345e-4,0.00122906744507605,0,0.00122906744507605,0,0.00107543401444154,0,0,1.536334306345e-4,0,0,0,0.00568443693347672,0,1.536334306345e-4,0,0.00660623751728376,4.6090029190351e-4,0,0,0,0,0,0,0
2.4524831391784e-4,0.00241160842019211,0.00130799100756182,0.00102186797465767,0,0,0,0.0011853668506029,0.00948293480482322,0,0,0,0,0,2.0437359493153e-4,6.9487022276721e-4,4.9049662783568e-4,0.00171673819742489,0,0,2.8612303290414e-4,0,0,2.4524831391784e-4,0,0,0,0,8.17494379726139e-5,0
3.5180299032541e-4,1.759014951627e-4,1.759014951627e-4,0,0,0,0,0,0.00299032541776605,0,0,0,0,0,0,0,0,8.7950747581354e-4,0,0,0,0,0,0,0,0,0,0,0,0
0,8.8704908338261e-4,0,0.00122497254371885,0,0,0,0,8.4480865084058e-4,0,0,0,0,0,0,0,3.8016389287826e-4,0,0,0,0.0010137703810087,0,0,0,0,0,0,0,0,0
0,0,2.0973154362416e-4,0.00650167785234899,0,0,0,0.00146812080536913,0.0111157718120805,0,0,0,0,0,4.1946308724832e-4,0.00566275167785235,0.00146812080536913,4.1946308724832e-4,0,0,0.00335570469798658,0,0,4.1946308724832e-4,0,0,0,0,0,0
0,0.00220238785209227,1.1591515011011e-4,0.0115915150110119,1.1591515011011e-4,0,0,0.00104323635099107,0.0144893937637649,0,0,0,0,0,0,0.00915729685869943,0.00208647270198215,0.00231830300220239,0,0,0.0108960241103512,0,0,0,0,0,0,0,0,0
0,0.00284981476204047,0.00113992590481619,0.00512966657167284,0,0,0,8.5494442861214e-4,0.0151040182388145,0,0,0,2.8498147620404e-4,0,0,0.00313479623824451,0,0.00199487033342833,0,5.6996295240809e-4,0.0042747221430607,0,0,8.5494442861214e-4,0,0,0,0,0,0
0,1.2478163214374e-4,6.23908160718742e-5,0,0,0,0,0,0.00118542550536561,0,0,0,6.23908160718742e-5,0,0,0,6.23908160718742e-5,0,0,0,0,0,0,2.4956326428749e-4,0,0,0,0,0,0
0,0,0.010371650821089,0,0,0,0,0,8.6430423509075e-4,0,0,0,0,0,0,0,0,4.3215211754537e-4,0,0,0,0,0,0,0,0,0,0,0,0
1.5270672673131e-4,3.8176681682828e-4,0.00442849507520806,2.2906009009696e-4,0,3.0541345346262e-4,0,2.2906009009696e-4,0.00763533633656563,0,7.63533633656563e-5,0,0,0,0,0,0.00114530045048484,6.871802702909e-4,0.00397037489501413,7.63533633656563e-5,0,0.00129800717721616,7.63533633656563e-5,0.004886615255402,0,0,0,7.63533633656563e-5,0,0
7.71604938271605e-5,1.5432098765432e-4,0.00385802469135802,7.71604938271605e-5,1.5432098765432e-4,0,0,7.71604938271605e-5,7.716049382716e-4,0,1.5432098765432e-4,0,0,7.71604938271605e-5,0,0,0,3.0864197530864e-4,8.4876543209876e-4,7.71604938271605e-5,0,3.0864197530864e-4,0,8.4876543209876e-4,0,0,0,0,0,0
0,3.7026751828195e-4,0.00416550958067204,0.00111080255484588,0.00148107007312783,1.8513375914097e-4,0,5.5540127742293e-4,0.0144404332129964,0,2.7770063871146e-4,6.4796815699342e-4,0.00166620383226881,0,5.5540127742293e-4,1.8513375914097e-4,0.00166620383226881,0.00499861149680644,0.00296214014625567,1.8513375914097e-4,0.00111080255484588,0.00194390447098028,0,0.00842358604091456,0,9.25668795704897e-5,9.25668795704897e-5,3.7026751828195e-4,0,0
0,0.0043137881450711,0.00191723917558715,7.9884965649464e-4,0,3.1953986259785e-4,0,0.00127815945039144,0.0110241252596261,0,0,0,0,0,1.5976993129893e-4,0.0027160888320818,0.0015976993129893,9.5861958779357e-4,3.1953986259785e-4,0,0,0,0,0.00111838951909251,0,0,0,3.1953986259785e-4,0,0
